,vib
326,-25.944
327,-1.9439
328,-17.944
329,30.056
330,-25.944
331,30.056
332,30.056
333,-41.944
334,54.056
335,-1.9439
336,-33.944
337,-49.944
338,-97.944
339,-33.944
340,-41.944
341,-1.9439
342,-9.9439
343,-41.944
344,46.056
345,14.056
346,78.056
347,-33.944
348,-81.944
349,22.056
350,-153.94
351,-185.94
352,-121.94
353,-297.94
354,-361.94
355,-97.944
356,318.06
357,350.06
358,6.0561
359,-33.944
360,-17.944
361,-105.94
362,-281.94
363,-57.944
364,86.056
365,6.0561
366,-185.94
367,-57.944
368,110.06
369,78.056
370,30.056
371,78.056
372,134.06
373,-49.944
374,-145.94
375,-17.944
376,134.06
377,-17.944
378,-241.94
379,-1.9439
380,166.06
381,54.056
382,-65.944
383,-25.944
384,78.056
385,14.056
386,-41.944
387,-105.94
388,54.056
389,38.056
390,-129.94
391,22.056
392,-9.9439
393,-73.944
394,-65.944
395,-105.94
396,54.056
397,-25.944
398,-129.94
399,-41.944
400,-73.944
401,70.056
402,94.056
403,62.056
404,-17.944
405,22.056
406,46.056
407,-17.944
408,-9.9439
409,-65.944
410,-25.944
411,-1.9439
412,-25.944
413,38.056
414,-1.9439
415,-17.944
416,62.056
417,6.0561
418,-25.944
419,-41.944
420,-49.944
421,6.0561
422,-49.944
423,-49.944
424,-1.9439
425,14.056
426,30.056
427,94.056
428,102.06
429,54.056
430,70.056
431,30.056
432,-1.9439
433,14.056
434,-49.944
435,-25.944
436,-9.9439
437,-49.944
438,-1.9439
439,-17.944
440,-41.944
441,14.056
442,30.056
443,-1.9439
444,-9.9439
445,6.0561
446,6.0561
447,6.0561
448,6.0561
449,14.056
450,30.056
451,-33.944
452,6.0561
453,70.056
454,-25.944
455,-17.944
456,-17.944
457,-49.944
458,30.056
459,46.056
460,22.056
461,30.056
462,6.0561
463,54.056
464,94.056
465,54.056
466,46.056
467,38.056
468,-9.9439
469,6.0561
470,30.056
471,38.056
472,6.0561
473,-33.944
474,-57.944
475,30.056
476,30.056
477,-9.9439
478,54.056
479,14.056
480,22.056
481,30.056
482,-9.9439
483,-17.944
484,-25.944
485,-89.944
486,38.056
487,-9.9439
488,-57.944
489,-9.9439
490,-89.944
491,14.056
492,30.056
493,-1.9439
494,70.056
495,22.056
496,38.056
497,54.056
498,70.056
499,46.056
500,-57.944
501,-17.944
502,38.056
503,-1.9439
504,-1.9439
505,54.056
506,22.056
507,14.056
508,-81.944
509,46.056
510,198.06
511,6.0561
512,-49.944
513,-65.944
514,94.056
515,174.06
516,-81.944
517,6.0561
518,70.056
519,70.056
520,86.056
521,-97.944
522,-9.9439
523,78.056
524,78.056
525,-25.944
526,46.056
527,14.056
528,-17.944
529,62.056
530,6.0561
531,86.056
532,-25.944
533,-41.944
534,158.06
535,78.056
536,70.056
537,6.0561
538,-41.944
539,94.056
540,30.056
541,-9.9439
542,22.056
543,38.056
544,6.0561
545,-57.944
546,22.056
547,6.0561
548,46.056
549,30.056
550,-49.944
551,78.056
552,-9.9439
553,6.0561
554,54.056
555,-9.9439
556,78.056
557,62.056
558,22.056
559,22.056
560,-17.944
561,30.056
562,30.056
563,14.056
564,-9.9439
565,38.056
566,6.0561
567,22.056
568,110.06
569,46.056
570,14.056
571,54.056
572,46.056
573,54.056
574,6.0561
575,-9.9439
576,14.056
577,-33.944
578,-49.944
579,6.0561
580,6.0561
581,14.056
582,6.0561
583,-17.944
584,-1.9439
585,126.06
586,54.056
587,-41.944
588,-25.944
589,54.056
590,158.06
591,54.056
592,-73.944
593,46.056
594,54.056
595,38.056
596,62.056
597,22.056
598,14.056
599,-1.9439
600,62.056
601,54.056
602,-17.944
603,-25.944
604,38.056
605,54.056
606,54.056
607,14.056
608,54.056
609,38.056
610,78.056
611,110.06
612,22.056
613,46.056
614,6.0561
615,22.056
616,134.06
617,22.056
618,46.056
619,54.056
620,22.056
621,110.06
622,14.056
623,-1.9439
624,38.056
625,6.0561
626,-81.944
627,6.0561
628,62.056
629,54.056
630,22.056
631,-137.94
632,-1.9439
633,38.056
634,14.056
635,54.056
636,-17.944
637,-9.9439
638,-1.9439
639,70.056
640,150.06
641,-1.9439
642,-49.944
643,-41.944
644,94.056
645,54.056
646,-73.944
647,-89.944
648,-57.944
649,102.06
650,70.056
651,-97.944
652,-41.944
653,38.056
654,110.06
655,78.056
656,-57.944
657,-33.944
658,62.056
659,134.06
660,150.06
661,38.056
662,-33.944
663,-9.9439
664,126.06
665,6.0561
666,-41.944
667,-65.944
668,-17.944
669,134.06
670,14.056
671,-33.944
672,14.056
673,-113.94
674,14.056
675,86.056
676,54.056
677,-65.944
678,-169.94
679,70.056
680,118.06
681,6.0561
682,-73.944
683,30.056
684,182.06
685,54.056
686,6.0561
687,14.056
688,-25.944
689,54.056
690,-33.944
691,30.056
692,54.056
693,-49.944
694,86.056
695,78.056
696,22.056
697,-41.944
698,-121.94
699,46.056
700,86.056
701,-49.944
702,-65.944
703,38.056
704,78.056
705,70.056
706,22.056
707,-1.9439
708,86.056
709,118.06
710,-17.944
711,-17.944
712,46.056
713,-9.9439
714,14.056
715,-17.944
716,-1.9439
717,86.056
718,38.056
719,70.056
720,46.056
721,-17.944
722,-17.944
723,30.056
724,70.056
725,102.06
726,-9.9439
727,-73.944
728,30.056
729,70.056
730,46.056
731,-97.944
732,-241.94
733,-113.94
734,22.056
735,-89.944
736,142.06
737,486.06
738,46.056
739,-241.94
740,254.06
741,438.06
742,158.06
743,-241.94
744,-121.94
745,246.06
746,30.056
747,-209.94
748,-49.944
749,134.06
750,14.056
751,-233.94
752,-137.94
753,62.056
754,30.056
755,-49.944
756,-41.944
757,86.056
758,78.056
759,46.056
760,78.056
761,102.06
762,134.06
763,-65.944
764,6.0561
765,62.056
766,38.056
767,-33.944
768,-57.944
769,-25.944
770,46.056
771,6.0561
772,-41.944
773,134.06
774,142.06
775,54.056
776,110.06
777,86.056
778,70.056
779,102.06
780,86.056
781,102.06
782,6.0561
783,-161.94
784,-73.944
785,6.0561
786,14.056
787,-25.944
788,-57.944
789,62.056
790,110.06
791,46.056
792,-25.944
793,-25.944
794,70.056
795,102.06
796,46.056
797,-33.944
798,30.056
799,110.06
800,38.056
801,54.056
802,46.056
803,22.056
804,70.056
805,54.056
806,70.056
807,54.056
808,-73.944
809,22.056
810,110.06
811,-33.944
812,-25.944
813,-41.944
814,14.056
815,62.056
816,6.0561
817,-1.9439
818,-9.9439
819,-9.9439
820,46.056
821,70.056
822,38.056
823,-49.944
824,-41.944
825,30.056
826,-17.944
827,-1.9439
828,-73.944
829,14.056
830,86.056
831,-17.944
832,54.056
833,22.056
834,54.056
835,134.06
836,-17.944
837,-33.944
838,-17.944
839,22.056
840,70.056
841,-65.944
842,-65.944
843,38.056
844,70.056
845,38.056
846,-41.944
847,-33.944
848,-1.9439
849,22.056
850,-9.9439
851,-33.944
852,30.056
853,30.056
854,38.056
855,46.056
856,-33.944
857,14.056
858,38.056
859,14.056
860,54.056
861,-33.944
862,-17.944
863,62.056
864,62.056
865,14.056
866,94.056
867,30.056
868,-9.9439
869,38.056
870,6.0561
871,62.056
872,6.0561
873,-73.944
874,22.056
875,46.056
876,86.056
877,46.056
878,-33.944
879,54.056
880,110.06
881,150.06
882,22.056
883,14.056
884,38.056
885,142.06
886,102.06
887,-33.944
888,-25.944
889,-9.9439
890,-49.944
891,-201.94
892,-217.94
893,-297.94
894,-185.94
895,238.06
896,366.06
897,222.06
898,30.056
899,-73.944
900,-105.94
901,-97.944
902,-161.94
903,-121.94
904,14.056
905,-129.94
906,-105.94
907,150.06
908,206.06
909,134.06
910,102.06
911,182.06
912,54.056
913,-57.944
914,54.056
915,-73.944
916,-49.944
917,-145.94
918,-217.94
919,62.056
920,38.056
921,-41.944
922,-65.944
923,-49.944
924,158.06
925,-25.944
926,-33.944
927,-9.9439
928,22.056
929,118.06
930,-105.94
931,38.056
932,14.056
933,-57.944
934,54.056
935,-153.94
936,-57.944
937,-129.94
938,-169.94
939,62.056
940,-113.94
941,-17.944
942,62.056
943,-25.944
944,206.06
945,230.06
946,6.0561
947,-33.944
948,-145.94
949,6.0561
950,86.056
951,14.056
952,14.056
953,-73.944
954,-1.9439
955,38.056
956,78.056
957,30.056
958,-129.94
959,-73.944
960,-9.9439
961,54.056
962,30.056
963,-129.94
964,-9.9439
965,6.0561
966,46.056
967,70.056
968,-9.9439
969,-25.944
970,14.056
971,14.056
972,-9.9439
973,22.056
974,30.056
975,62.056
976,14.056
977,-1.9439
978,46.056
979,-9.9439
980,-49.944
981,-1.9439
982,22.056
983,14.056
984,-57.944
985,-129.94
986,-41.944
987,62.056
988,22.056
989,-41.944
990,-49.944
991,-17.944
992,30.056
993,14.056
994,-49.944
995,14.056
996,62.056
997,70.056
998,62.056
999,-41.944
1000,-17.944
1001,70.056
1002,22.056
1003,30.056
1004,6.0561
1005,-41.944
1006,-25.944
1007,-1.9439
1008,6.0561
1009,22.056
1010,62.056
1011,22.056
1012,6.0561
1013,38.056
1014,62.056
1015,54.056
1016,-41.944
1017,-25.944
1018,142.06
1019,62.056
1020,-17.944
1021,-113.94
1022,-73.944
1023,102.06
1024,38.056
1025,-57.944
1026,-41.944
1027,22.056
1028,86.056
1029,78.056
1030,-25.944
1031,-97.944
1032,-41.944
1033,22.056
1034,38.056
1035,6.0561
1036,-33.944
1037,46.056
1038,110.06
1039,46.056
1040,22.056
1041,6.0561
1042,6.0561
1043,94.056
1044,14.056
1045,6.0561
1046,-25.944
1047,-25.944
1048,110.06
1049,86.056
1050,30.056
1051,-41.944
1052,-41.944
1053,86.056
1054,62.056
1055,-25.944
1056,-121.94
1057,-57.944
1058,86.056
1059,14.056
1060,14.056
1061,-41.944
1062,-33.944
1063,110.06
1064,46.056
1065,-25.944
1066,-25.944
1067,-65.944
1068,54.056
1069,-17.944
1070,-97.944
1071,-1.9439
1072,14.056
1073,70.056
1074,62.056
1075,62.056
1076,94.056
1077,30.056
1078,46.056
1079,38.056
1080,6.0561
1081,-49.944
1082,-81.944
1083,-1.9439
1084,6.0561
1085,78.056
1086,-105.94
1087,-89.944
1088,94.056
1089,22.056
1090,-1.9439
1091,-65.944
1092,-25.944
1093,78.056
1094,62.056
1095,38.056
1096,-1.9439
1097,-25.944
1098,6.0561
1099,54.056
1100,62.056
1101,-57.944
1102,-81.944
1103,-1.9439
1104,94.056
1105,62.056
1106,-49.944
1107,-49.944
1108,102.06
1109,94.056
1110,-17.944
1111,-89.944
1112,-81.944
1113,78.056
1114,94.056
1115,-25.944
1116,-49.944
1117,-41.944
1118,70.056
1119,70.056
1120,-49.944
1121,-17.944
1122,30.056
1123,46.056
1124,30.056
1125,-1.9439
1126,-9.9439
1127,46.056
1128,86.056
1129,-17.944
1130,-9.9439
1131,-9.9439
1132,-57.944
1133,22.056
1134,-1.9439
1135,-41.944
1136,-49.944
1137,-49.944
1138,46.056
1139,46.056
1140,-1.9439
1141,62.056
1142,-33.944
1143,-81.944
1144,14.056
1145,6.0561
1146,-9.9439
1147,-57.944
1148,-49.944
1149,22.056
1150,30.056
1151,54.056
1152,38.056
1153,70.056
1154,30.056
1155,-17.944
1156,30.056
1157,-17.944
1158,-33.944
1159,-41.944
1160,-73.944
1161,6.0561
1162,-1.9439
1163,14.056
1164,14.056
1165,-41.944
1166,38.056
1167,70.056
1168,-49.944
1169,-89.944
1170,-17.944
1171,14.056
1172,-1.9439
1173,6.0561
1174,14.056
1175,38.056
1176,6.0561
1177,-17.944
1178,54.056
1179,46.056
1180,30.056
1181,46.056
1182,-41.944
1183,-25.944
1184,-1.9439
1185,-41.944
1186,46.056
1187,-41.944
1188,-41.944
1189,-25.944
1190,-33.944
1191,62.056
1192,6.0561
1193,-17.944
1194,-41.944
1195,6.0561
1196,110.06
1197,30.056
1198,-1.9439
1199,-17.944
1200,54.056
1201,126.06
1202,-1.9439
1203,22.056
1204,-1.9439
1205,-33.944
1206,-121.94
1207,-9.9439
1208,14.056
1209,-1.9439
1210,-41.944
1211,-105.94
1212,14.056
1213,-17.944
1214,-17.944
1215,46.056
1216,-65.944
1217,-17.944
1218,-33.944
1219,-41.944
1220,46.056
1221,-81.944
1222,-73.944
1223,-25.944
1224,6.0561
1225,6.0561
1226,-49.944
1227,-73.944
1228,-1.9439
1229,70.056
1230,14.056
1231,6.0561
1232,-17.944
1233,-25.944
1234,62.056
1235,14.056
1236,-65.944
1237,-9.9439
1238,6.0561
1239,6.0561
1240,6.0561
1241,-65.944
1242,-57.944
1243,-9.9439
1244,-1.9439
1245,-17.944
1246,-17.944
1247,-49.944
1248,-9.9439
1249,-17.944
1250,-49.944
1251,94.056
1252,78.056
1253,-33.944
1254,-1.9439
1255,-1.9439
1256,22.056
1257,-1.9439
1258,-89.944
1259,-25.944
1260,38.056
1261,46.056
1262,-1.9439
1263,-41.944
1264,-9.9439
1265,86.056
1266,78.056
1267,-9.9439
1268,-1.9439
1269,-17.944
1270,-49.944
1271,-33.944
1272,-17.944
1273,6.0561
1274,-17.944
1275,-49.944
1276,30.056
1277,46.056
1278,-25.944
1279,6.0561
1280,30.056
1281,30.056
1282,-1.9439
1283,-17.944
1284,6.0561
1285,-1.9439
1286,-89.944
1287,-41.944
1288,-1.9439
1289,6.0561
1290,38.056
1291,22.056
1292,-17.944
1293,-49.944
1294,22.056
1295,62.056
1296,14.056
1297,-73.944
1298,-33.944
1299,102.06
1300,14.056
1301,-89.944
1302,-1.9439
1303,14.056
1304,6.0561
1305,-1.9439
1306,-81.944
1307,22.056
1308,38.056
1309,22.056
1310,70.056
1311,-25.944
1312,-1.9439
1313,22.056
1314,-49.944
1315,-49.944
1316,-57.944
1317,-49.944
1318,-1.9439
1319,38.056
1320,54.056
1321,-17.944
1322,-25.944
1323,-65.944
1324,-57.944
1325,-1.9439
1326,-49.944
1327,-25.944
1328,-25.944
1329,38.056
1330,118.06
1331,-33.944
1332,-33.944
1333,54.056
1334,46.056
1335,118.06
1336,-33.944
1337,-89.944
1338,-9.9439
1339,6.0561
1340,22.056
1341,-57.944
1342,-41.944
1343,14.056
1344,62.056
1345,6.0561
1346,-65.944
1347,-97.944
1348,-73.944
1349,22.056
1350,78.056
1351,-49.944
1352,-65.944
1353,6.0561
1354,46.056
1355,102.06
1356,6.0561
1357,-65.944
1358,6.0561
1359,-1.9439
1360,62.056
1361,22.056
1362,-113.94
1363,-57.944
1364,46.056
1365,46.056
1366,94.056
1367,-41.944
1368,-25.944
1369,54.056
1370,78.056
1371,78.056
1372,30.056
1373,62.056
1374,78.056
1375,150.06
1376,142.06
1377,22.056
1378,14.056
1379,-81.944
1380,-89.944
1381,-89.944
1382,-265.94
1383,-305.94
1384,-49.944
1385,374.06
1386,310.06
1387,-9.9439
1388,-137.94
1389,182.06
1390,206.06
1391,-41.944
1392,-129.94
1393,-105.94
1394,14.056
1395,-17.944
1396,-41.944
1397,102.06
1398,30.056
1399,-81.944
1400,-41.944
1401,22.056
1402,78.056
1403,-1.9439
1404,-65.944
1405,6.0561
1406,78.056
1407,6.0561
1408,-73.944
1409,-17.944
1410,54.056
1411,78.056
1412,54.056
1413,22.056
1414,126.06
1415,78.056
1416,22.056
1417,134.06
1418,102.06
1419,54.056
1420,46.056
1421,14.056
1422,6.0561
1423,-241.94
1424,-241.94
1425,-201.94
1426,-361.94
1427,-113.94
1428,214.06
1429,462.06
1430,158.06
1431,-161.94
1432,-1.9439
1433,-97.944
1434,-41.944
1435,-25.944
1436,-73.944
1437,38.056
1438,-97.944
1439,6.0561
1440,110.06
1441,-1.9439
1442,-1.9439
1443,-57.944
1444,62.056
1445,30.056
1446,14.056
1447,-41.944
1448,-73.944
1449,-25.944
1450,46.056
1451,278.06
1452,190.06
1453,102.06
1454,94.056
1455,-17.944
1456,166.06
1457,54.056
1458,-105.94
1459,-33.944
1460,-89.944
1461,-49.944
1462,-97.944
1463,-129.94
1464,62.056
1465,70.056
1466,-105.94
1467,-49.944
1468,22.056
1469,86.056
1470,46.056
1471,-9.9439
1472,-1.9439
1473,-57.944
1474,70.056
1475,126.06
1476,62.056
1477,-17.944
1478,-121.94
1479,14.056
1480,-9.9439
1481,-121.94
1482,-105.94
1483,-73.944
1484,70.056
1485,14.056
1486,-33.944
1487,6.0561
1488,14.056
1489,46.056
1490,-9.9439
1491,-25.944
1492,-25.944
1493,6.0561
1494,78.056
1495,38.056
1496,14.056
1497,-57.944
1498,-49.944
1499,118.06
1500,-9.9439
1501,-65.944
1502,-49.944
1503,-49.944
1504,126.06
1505,-57.944
1506,-73.944
1507,22.056
1508,-25.944
1509,86.056
1510,54.056
1511,14.056
1512,-41.944
1513,-73.944
1514,30.056
1515,-33.944
1516,-113.94
1517,-113.94
1518,-25.944
1519,78.056
1520,6.0561
1521,70.056
1522,22.056
1523,-25.944
1524,70.056
1525,190.06
1526,78.056
1527,6.0561
1528,14.056
1529,118.06
1530,134.06
1531,-65.944
1532,-25.944
1533,62.056
1534,46.056
1535,110.06
1536,-81.944
1537,-73.944
1538,86.056
1539,78.056
1540,62.056
1541,-9.9439
1542,54.056
1543,110.06
1544,22.056
1545,-129.94
1546,-17.944
1547,6.0561
1548,-41.944
1549,-1.9439
1550,-17.944
1551,22.056
1552,22.056
1553,6.0561
1554,70.056
1555,54.056
1556,30.056
1557,-17.944
1558,30.056
1559,102.06
1560,-9.9439
1561,-73.944
1562,-121.94
1563,38.056
1564,94.056
1565,-41.944
1566,14.056
1567,22.056
1568,62.056
1569,70.056
1570,-1.9439
1571,70.056
1572,46.056
1573,14.056
1574,62.056
1575,-9.9439
1576,-25.944
1577,-17.944
1578,38.056
1579,46.056
1580,38.056
1581,14.056
1582,14.056
1583,134.06
1584,38.056
1585,6.0561
1586,62.056
1587,54.056
1588,126.06
1589,94.056
1590,22.056
1591,70.056
1592,38.056
1593,46.056
1594,86.056
1595,62.056
1596,-17.944
1597,-17.944
1598,70.056
1599,78.056
1600,78.056
1601,-17.944
1602,-25.944
1603,110.06
1604,70.056
1605,30.056
1606,6.0561
1607,-73.944
1608,6.0561
1609,-9.9439
1610,14.056
1611,78.056
1612,30.056
1613,94.056
1614,134.06
1615,54.056
1616,-9.9439
1617,-25.944
1618,70.056
1619,78.056
1620,14.056
1621,-9.9439
1622,38.056
1623,126.06
1624,38.056
1625,46.056
1626,70.056
1627,-9.9439
1628,62.056
1629,22.056
1630,30.056
1631,62.056
1632,-57.944
1633,62.056
1634,86.056
1635,6.0561
1636,14.056
1637,22.056
1638,102.06
1639,38.056
1640,-25.944
1641,46.056
1642,62.056
1643,14.056
1644,46.056
1645,14.056
1646,14.056
1647,-1.9439
1648,70.056
1649,30.056
1650,-25.944
1651,30.056
1652,-33.944
1653,54.056
1654,6.0561
1655,-89.944
1656,62.056
1657,46.056
1658,6.0561
1659,-1.9439
1660,-65.944
1661,86.056
1662,54.056
1663,-113.94
1664,-57.944
1665,86.056
1666,46.056
1667,-1.9439
1668,-9.9439
1669,70.056
1670,126.06
1671,22.056
1672,-9.9439
1673,14.056
1674,-25.944
1675,14.056
1676,46.056
1677,22.056
1678,22.056
1679,46.056
1680,86.056
1681,86.056
1682,30.056
1683,-17.944
1684,30.056
1685,-1.9439
1686,-17.944
1687,-1.9439
1688,6.0561
1689,38.056
1690,14.056
1691,14.056
1692,70.056
1693,46.056
1694,14.056
1695,78.056
1696,70.056
1697,-25.944
1698,-33.944
1699,14.056
1700,30.056
1701,86.056
1702,38.056
1703,46.056
1704,54.056
1705,-113.94
1706,30.056
1707,54.056
1708,-41.944
1709,-33.944
1710,-41.944
1711,54.056
1712,38.056
1713,6.0561
1714,6.0561
1715,102.06
1716,62.056
1717,-33.944
1718,30.056
1719,30.056
1720,-49.944
1721,46.056
1722,-17.944
1723,86.056
1724,22.056
1725,46.056
1726,102.06
1727,46.056
1728,110.06
1729,22.056
1730,-25.944
1731,-9.9439
1732,46.056
1733,142.06
1734,-1.9439
1735,-65.944
1736,-1.9439
1737,62.056
1738,142.06
1739,-1.9439
1740,-1.9439
1741,14.056
1742,-65.944
1743,30.056
1744,70.056
1745,46.056
1746,-17.944
1747,-49.944
1748,62.056
1749,110.06
1750,46.056
1751,22.056
1752,46.056
1753,30.056
1754,62.056
1755,86.056
1756,-17.944
1757,-33.944
1758,-1.9439
1759,-9.9439
1760,22.056
1761,6.0561
1762,14.056
1763,70.056
1764,78.056
1765,38.056
1766,94.056
1767,-17.944
1768,30.056
1769,102.06
1770,54.056
1771,70.056
1772,22.056
1773,70.056
1774,54.056
1775,22.056
1776,46.056
1777,-9.9439
1778,-1.9439
1779,14.056
1780,102.06
1781,78.056
1782,-105.94
1783,14.056
1784,-17.944
1785,102.06
1786,-57.944
1787,-89.944
1788,46.056
1789,-33.944
1790,70.056
1791,-41.944
1792,-81.944
1793,14.056
1794,38.056
1795,102.06
1796,-81.944
1797,-65.944
1798,78.056
1799,110.06
1800,70.056
1801,-201.94
1802,-41.944
1803,46.056
1804,-33.944
1805,-33.944
1806,-57.944
1807,14.056
1808,70.056
1809,-9.9439
1810,14.056
1811,46.056
1812,70.056
1813,46.056
1814,-57.944
1815,-41.944
1816,62.056
1817,14.056
1818,-105.94
1819,-41.944
1820,54.056
1821,62.056
1822,62.056
1823,-17.944
1824,6.0561
1825,38.056
1826,-25.944
1827,-1.9439
1828,-9.9439
1829,-49.944
1830,-17.944
1831,54.056
1832,-17.944
1833,-41.944
1834,-49.944
1835,30.056
1836,190.06
1837,-1.9439
1838,-89.944
1839,6.0561
1840,46.056
1841,78.056
1842,14.056
1843,-9.9439
1844,62.056
1845,62.056
1846,46.056
1847,6.0561
1848,-1.9439
1849,46.056
1850,102.06
1851,38.056
1852,-9.9439
1853,46.056
1854,-17.944
1855,-41.944
1856,-1.9439
1857,-9.9439
1858,-25.944
1859,14.056
1860,6.0561
1861,-1.9439
1862,-49.944
1863,-33.944
1864,54.056
1865,-1.9439
1866,-89.944
1867,30.056
1868,62.056
1869,78.056
1870,30.056
1871,-105.94
1872,-1.9439
1873,-1.9439
1874,-9.9439
1875,30.056
1876,-73.944
1877,-17.944
1878,6.0561
1879,22.056
1880,14.056
1881,-33.944
1882,-1.9439
1883,46.056
1884,78.056
1885,46.056
1886,-97.944
1887,-73.944
1888,-65.944
1889,46.056
1890,30.056
1891,-169.94
1892,-73.944
1893,-17.944
1894,30.056
1895,62.056
1896,-113.94
1897,6.0561
1898,86.056
1899,46.056
1900,78.056
1901,-57.944
1902,-65.944
1903,-33.944
1904,62.056
1905,38.056
1906,-105.94
1907,-97.944
1908,-1.9439
1909,158.06
1910,38.056
1911,-153.94
1912,6.0561
1913,30.056
1914,30.056
1915,30.056
1916,-121.94
1917,-41.944
1918,-1.9439
1919,-1.9439
1920,6.0561
1921,-113.94
1922,-81.944
1923,-17.944
1924,14.056
1925,-9.9439
1926,-25.944
1927,-17.944
1928,22.056
1929,70.056
1930,-25.944
1931,-25.944
1932,14.056
1933,-17.944
1934,30.056
1935,-25.944
1936,-89.944
1937,6.0561
1938,38.056
1939,70.056
1940,38.056
1941,-65.944
1942,30.056
1943,70.056
1944,38.056
1945,-1.9439
1946,-1.9439
1947,-65.944
1948,-1.9439
1949,78.056
1950,38.056
1951,62.056
1952,14.056
1953,30.056
1954,134.06
1955,70.056
1956,78.056
1957,62.056
1958,70.056
1959,38.056
1960,-121.94
1961,-209.94
1962,-129.94
1963,-241.94
1964,-345.94
1965,14.056
1966,334.06
1967,230.06
1968,38.056
1969,-81.944
1970,-65.944
